Date/Time,Energy Produced (Wh)
2017-08-01 00:00:00 -0700,10949
2017-08-02 00:00:00 -0700,11269
2017-08-03 00:00:00 -0700,12166
2017-08-04 00:00:00 -0700,8702
2017-08-05 00:00:00 -0700,8507
2017-08-06 00:00:00 -0700,10605
2017-08-07 00:00:00 -0700,10758
2017-08-08 00:00:00 -0700,10802
2017-08-09 00:00:00 -0700,10771
2017-08-10 00:00:00 -0700,11039
2017-08-11 00:00:00 -0700,10417
2017-08-12 00:00:00 -0700,9620
2017-08-13 00:00:00 -0700,7900
2017-08-14 00:00:00 -0700,10822
2017-08-15 00:00:00 -0700,12841
2017-08-16 00:00:00 -0700,11979
2017-08-17 00:00:00 -0700,13120
2017-08-18 00:00:00 -0700,8915
2017-08-19 00:00:00 -0700,0
2017-08-20 00:00:00 -0700,0
2017-08-21 00:00:00 -0700,0
2017-08-22 00:00:00 -0700,0
2017-08-23 00:00:00 -0700,972
2017-08-24 00:00:00 -0700,6126
2017-08-25 00:00:00 -0700,6231
2017-08-26 00:00:00 -0700,6409
2017-08-27 00:00:00 -0700,6478
2017-08-28 00:00:00 -0700,6427
2017-08-29 00:00:00 -0700,6391
2017-08-30 00:00:00 -0700,3636
2017-08-31 00:00:00 -0700,6330
2017-09-01 00:00:00 -0700,6360
2017-09-02 00:00:00 -0700,6239
2017-09-03 00:00:00 -0700,6278
Total,259059
